代码,名称,涨幅%%,现价,涨跌,买价,卖价,总量,现量,涨速%%,换手%%,今开,最高,最低,昨收,市盈(动),总金额,量比,细分行业
000100,TCL 集团,2.98,4.15,0.12,4.15,4.16,5191642,25085,0.24,6.38,4.1,4.27,4.03,4.03,13.26,2160396288,1.61,家用电器
300389,艾比森,3.97,74.65,2.85,74.65,74.66,8892,94,0.01,5.75,72,74.85,72,71.8,40.08,65478576,1.09,半导体
002468,艾迪西,-0.4,14.87,-0.06,14.87,14.88,23081,212,-0.13,0.7,15.01,15.01,14.4,14.93,291.56,34133708,0.68,其他建材
300015,爱尔眼科,8.75,30.07,2.42,30.06,30.07,98106,1068,0.03,1.87,27.21,30.12,27.2,27.65,57.81,286117568,2.45,医疗保健
600643,爱建股份,-0.14,13.89,-0.02,13.88,13.9,302278,355,0,3.7,13.75,13.93,13.52,13.91,31.41,415731840,0.75,多元金融
002610,爱康科技,1.58,17.39,0.27,17.39,17.4,57630,504,-0.05,1.94,17.14,17.49,16.85,17.12,58.73,99219512,1.2,电气设备
002416,爱施德,2.8,11.39,0.31,11.39,11.4,80428,387,0.08,0.84,10.99,11.45,10.88,11.08,169.34,90639272,1.24,电器连锁
600652,爱使股份,-3.3,6.74,-0.23,6.72,6.73,217142,21,0.14,3.9,6.84,6.95,6.62,6.97,NA,146704800,1.49,煤炭开采
002403,爱仕达,0.34,11.98,0.04,11.97,11.98,24084,141,0,1.08,11.76,12.02,11.66,11.94,40.01,28532972,1.05,家用电器
002136,安 纳 达,2.45,10.02,0.24,10.02,10.03,38645,227,0.09,1.81,9.79,10.02,9.64,9.78,NA,38000696,0.93,化工原料
600207,安彩高科,0,5.38,0,NA,NA,0,0,0,0,NA,NA,NA,5.38,NA,0,0,元器件
600761,安徽合力,-0.51,15.57,-0.08,15.55,15.56,541925,3,-0.06,8.79,16.6,16.75,15.05,15.65,14.89,855296256,2.17,工程机械
600502,安徽水利,2.64,12.07,0.31,12.06,12.07,247104,89,0,4.92,11.67,12.12,11.5,11.76,24.64,294155072,1,建筑施工
002635,安洁科技,3.62,28.65,1,28.59,28.65,21428,672,0.17,2.33,27.68,28.65,27.34,27.65,43.39,60343252,1.94,电脑设备
300155,安居宝,5.96,17.97,1.01,17.96,17.97,149079,2704,0,8.4,17,18.17,16.88,16.96,70.08,264167152,1.48,元器件
000868,安凯客车,1.85,6.06,0.11,6.05,6.06,260672,2136,0.16,3.75,5.96,6.25,5.89,5.95,170.74,158920688,1.67,汽车整车
300286,安科瑞,3.16,22.19,0.68,22.18,22.19,12194,109,0.09,3.46,21.34,22.34,21.03,21.51,42.07,26737776,1.59,电器仪表
300009,安科生物,NA,17.82,NA,NA,NA,0,0,NA,0,NA,NA,NA,17.82,47.27,0,0,生物制药
300218,安利股份,5.01,9.86,0.47,9.85,9.86,25149,361,0.3,1.54,9.31,9.9,9.25,9.39,34.21,24306384,1.42,塑料
002235,安妮股份,NA,15.77,NA,NA,NA,0,0,NA,0,NA,NA,NA,15.77,1092.49,0,0,造纸
300067,安诺其,2.07,9.84,0.2,9.84,9.85,52815,1007,-0.1,2.84,9.58,9.87,9.51,9.64,32.18,51526944,1.72,染料涂料
600298,安琪酵母,2.45,19.63,0.47,19.62,19.63,75842,20,0.15,2.37,19.03,19.82,18.95,19.16,39.3,147912800,1.86,食品
300380,安硕信息,9.99,66.37,6.03,66.37,NA,23579,35,0,13.72,59.88,66.37,59.21,60.34,185.34,150816464,2,软件服务
600408,安泰集团,-3.68,3.93,-0.15,3.92,3.93,770114,192,0.51,7.65,4.07,4.07,3.88,4.08,NA,304610464,1.86,焦炭加工
000969,安泰科技,1.4,9.41,0.13,9.41,9.42,169470,2748,0.1,1.97,9.21,9.45,9.13,9.28,1021.44,157239152,1.17,钢加工
600816,安信信托,-1.59,29.1,-0.47,29.1,29.11,201800,4,0.31,4.45,29.4,29.41,28.6,29.57,12.07,585436864,0.82,多元金融
600569,安阳钢铁,-2.03,3.37,-0.07,3.38,3.39,372659,3,-0.29,1.56,3.4,3.47,3.35,3.44,113.88,126505336,0.88,普钢
600397,安源煤业,-1.85,5.83,-0.11,5.81,5.82,400293,20,-0.17,6.2,6,6.14,5.77,5.94,130.23,238315728,1.71,煤炭开采
000898,鞍钢股份,-2.01,6.35,-0.13,6.35,6.36,791741,8770,0.15,1.29,6.39,6.48,6.23,6.48,37.33,502245152,0.96,普钢
002667,鞍重股份,1.12,33.29,0.37,33.28,33.29,8997,75,0.27,3.22,32.94,33.77,32.62,32.92,49.32,29908520,0.91,工程机械
002227,奥 特 迅,4.47,19.38,0.83,19.38,19.39,28224,230,0,1.3,18.54,19.5,18.26,18.55,179.36,54018260,1.43,电气设备
002292,奥飞动漫,3.31,30.63,0.98,30.63,30.64,82867,796,0.13,2.58,29.49,31.04,29.25,29.65,50.18,250773232,1.27,影视音像
603001,奥康国际,-1.39,17.7,-0.25,17.69,17.73,74952,47,-0.28,6.41,18.01,18.55,17.46,17.95,28.69,134000232,2.01,服饰
300082,奥克股份,3.54,13.45,0.46,13.45,13.46,48330,980,0.14,1.43,12.89,13.45,12.85,12.99,37.07,63610276,1.65,化工原料
002668,奥马电器,2.42,21.13,0.5,21.13,21.14,38997,384,-0.04,5.39,20.5,21.18,20.31,20.63,15.37,81380176,1.69,家用电器
002338,奥普光电,2.46,43.7,1.05,43.65,43.7,11885,194,-0.36,1,42.25,44.46,42.11,42.65,98.14,51774240,0.93,电器仪表
002701,奥瑞金,5.17,22.37,1.1,22.37,22.38,227580,858,-0.04,7.02,21.28,22.48,21,21.27,15.4,501946592,2.7,广告包装
002587,奥拓电子,4.39,13.32,0.56,13.32,13.33,27622,314,0.07,1.97,12.7,13.42,12.42,12.76,46.81,35806804,1.35,元器件
002231,奥维通信,1.86,8.22,0.15,8.22,8.23,117517,2858,-0.24,5.77,8.04,8.25,7.92,8.07,NA,95188352,1.51,通信设备
600336,澳柯玛,0.88,5.73,0.05,5.73,5.75,107314,3000,-0.17,1.58,5.63,5.76,5.59,5.68,31.91,61238288,1.12,家用电器
002172,澳洋科技,NA,6.82,NA,NA,NA,0,0,NA,0,NA,NA,NA,6.82,NA,0,0,化纤
002245,澳洋顺昌,2.14,10.48,0.22,10.47,10.48,53386,850,0,1.59,10.2,10.53,10.2,10.26,29,55468756,1.44,仓储物流
002592,八菱科技,NA,18.21,NA,NA,NA,0,0,NA,0,NA,NA,NA,18.21,49.85,0,0,运输设备
600581,八一钢铁,-1.03,5.78,-0.06,5.77,5.78,238017,86,0.34,3.11,5.78,5.85,5.65,5.84,NA,136552848,0.87,普钢
300262,巴安水务,8.04,21.51,1.6,21.51,21.52,116857,4002,-0.32,7.43,19.87,21.86,19.4,19.91,68.6,239439088,0.94,环境保护
002170,芭田股份,2.89,9.25,0.26,9.25,9.26,168705,945,0,2.68,8.99,9.39,8.99,8.99,39.84,155816960,0.95,农药化肥
600004,白云机场,0.34,11.69,0.04,11.68,11.69,238702,16,0,2.08,11.5,11.86,11.3,11.65,13.54,277053280,0.82,机场
600332,白云山,0,27.11,0,NA,NA,0,0,0,0,NA,NA,NA,27.11,30.64,0,0,中成药
002455,百川股份,2.05,8.96,0.18,8.95,8.96,29305,217,0,2.21,8.78,8.96,8.65,8.78,42.82,25757568,1.49,化工原料
600865,百大集团,1.16,7.82,0.09,7.82,7.83,57321,30,0,1.52,7.71,7.84,7.63,7.73,17.34,44247956,1.44,百货
600721,百花村,-1.68,9.38,-0.16,9.37,9.38,54434,7,0.1,4.54,9.59,9.89,9.29,9.54,NA,52044536,2.18,焦炭加工
600468,百利电气,2.84,13.41,0.37,13.4,13.41,39698,2,0.07,0.87,13.03,13.51,12.95,13.04,210.39,52952632,0.58,电气设备
600827,百联股份,0.28,18.21,0.05,18.21,18.22,327063,25,0.27,2.12,17.9,18.78,17.74,18.16,26.75,598178432,0.92,超市连锁
601339,百隆东方,0.63,11.12,0.07,11.1,11.13,61284,30,0.18,3.19,10.98,11.15,10.85,11.05,15.69,67367888,1.26,纺织
002568,百润股份,2.99,39.97,1.16,39.78,39.97,14279,37,-0.05,1.31,38.9,40.5,37.6,38.81,102.33,55500976,0.98,食品
600637,百视通,-0.78,37.02,-0.29,37.03,37.04,188955,29,0.05,1.7,37.25,37.37,36.36,37.31,55.74,697027712,1.16,影视音像
002696,百洋股份,2.47,12.03,0.29,12.01,12.03,19364,514,0.16,2.42,11.65,12.04,11.6,11.74,43.62,22900680,1.58,渔业
002640,百圆裤业,5.57,29.37,1.55,29.37,29.38,27520,176,0.13,2.81,27.78,29.38,27.54,27.82,296.96,78637864,1.12,服饰
002601,佰利联,0.7,21.57,0.15,21.56,21.57,31007,315,0.09,1.9,21.4,21.59,21.1,21.42,119.48,66167364,0.94,化工原料
300312,邦讯技术,7.54,20.67,1.45,20.65,20.67,28019,914,0.68,4.38,19.14,20.79,19.14,19.22,609.92,56047472,1.41,通信设备
002634,棒杰股份,-0.06,15.88,-0.01,15.87,15.88,5907,64,0,1.06,15.78,15.97,15.55,15.89,38.9,9338732,0.33,服饰
600010,包钢股份,-2.54,4.22,-0.11,4.21,4.22,3782714,1718,0.23,2.4,4.3,4.32,4.12,4.33,900.76,1598859136,0.85,普钢
600111,包钢稀土,-2.77,27.68,-0.79,27.69,27.7,1456681,16,0.25,9.85,28.8,28.8,27.43,28.47,126.7,4077940736,1.29,小金属
000040,宝安地产,-3.13,6.49,-0.21,6.49,6.5,161286,1230,0,3.47,6.6,6.6,6.3,6.7,159.73,104331488,0.71,全国地产
600892,宝诚股份,0,24.3,0,NA,NA,0,0,0,0,NA,NA,NA,24.3,6823.56,0,0,综合类
300023,宝德股份,2.05,16.41,0.33,16.4,16.41,23600,277,0.12,4.74,16.43,16.5,15.8,16.08,131.17,38124688,1.21,专用机械
002552,宝鼎重工,NA,10.38,NA,NA,NA,0,0,NA,0,NA,NA,NA,10.38,228.82,0,0,机械基件
600019,宝钢股份,-4.02,7.17,-0.3,7.17,7.18,2060879,748,0,1.25,7.36,7.36,7.04,7.47,17.68,1477008000,1.35,普钢
600379,宝光股份,-4.52,13.3,-0.63,13.31,13.32,339749,393,0.37,14.4,14.8,15.32,13.21,13.93,105.06,492074528,6.87,电气设备
300246,宝莱特,8.6,22.74,1.8,22.72,22.74,43041,498,-0.17,4.14,20.94,22.94,20.81,20.94,110.63,94395208,2.53,医疗保健
000008,宝利来,0.6,21.83,0.13,21.83,21.84,33755,203,-0.04,2.29,21.7,22.09,21.3,21.7,508.55,73344168,0.87,综合类
300135,宝利沥青,2.67,8.08,0.21,8.08,8.09,134820,1323,-0.12,3.71,7.85,8.18,7.66,7.87,61.3,108185808,1.32,化工原料
002476,宝莫股份,NA,7.99,NA,NA,NA,0,0,NA,0,NA,NA,NA,7.99,94.12,0,0,化工原料
300402,宝色股份,4.81,17.43,0.8,17.42,17.43,60058,741,-0.05,11.78,16.37,17.97,16.37,16.63,81.82,103810472,1.79,专用机械
600973,宝胜股份,1.22,10.75,0.13,10.75,10.76,60555,12,0.18,1.47,10.44,10.84,10.4,10.62,41.83,64635528,0.96,电气设备
600155,宝硕股份,1.58,12.21,0.19,12.2,12.22,128090,314,-0.08,3.11,11.8,12.38,11.7,12.02,NA,153492896,0.78,化工原料
600456,宝钛股份,0.06,18.19,0.01,18.19,18.2,74073,10,0.05,1.72,18.06,18.28,17.75,18.18,3896.12,133702784,1.34,小金属
601011,宝泰隆,-2.84,10.6,-0.31,10.6,10.61,80613,6,-0.18,2.08,10.8,10.85,10.47,10.91,56.54,85452472,1.4,焦炭加工
300031,宝通带业,4.76,8.15,0.37,8.15,8.16,102306,824,0,4.78,7.7,8.18,7.6,7.78,34.57,81213328,2.12,橡胶
000690,宝新能源,2.56,6.82,0.17,6.82,6.83,814817,4620,0,4.76,6.64,6.85,6.5,6.65,10.6,542765248,1.42,火力发电
002514,宝馨科技,3.78,11.25,0.41,11.25,11.26,32600,522,0.08,1.5,10.72,11.35,10.72,10.84,152.64,36023756,1.1,机械基件
600845,宝信软件,0,33.5,0,NA,NA,0,0,0,0,NA,NA,NA,33.5,44.46,0,0,软件服务
