code,name,market,main_cost_year,main_cost_month_day,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type
000001,平安银行,000001.sz,2015,323,13.44,15.43,15.43,273382,41950,15.45,15.22,15.27,2
000002,万科Ａ,000002.sz,2015,323,12.12,13.36,13.37,469792,62129,13.38,13.15,13.19,2
000004,国农科技,000004.sz,2015,323,19.08,21.74,21.66,5617,1221,21.85,21.65,21.77,2
000005,世纪星源,000005.sz,2014,1226,4.21,0,0,0,0,0,0,0,0
000006,深振业Ａ,000006.sz,2015,323,6.69,7.81,7.80,89660,6938,7.85,7.65,7.85,2
000007,零七股份,000007.sz,2015,323,15.18,16.76,16.77,21441,3543,16.81,16.37,16.45,2
000008,宝利来,000008.sz,2015,311,19.7,0,0,0,0,0,0,0,0
000009,中国宝安,000009.sz,2015,323,14.82,16.61,16.68,122928,20394,16.76,16.45,16.56,2
000010,深华新,000010.sz,2014,1225,7.78,0,0,0,0,0,0,0,0
000011,深物业A,000011.sz,2015,323,10.01,11.16,11.09,28610,3135,11.10,10.87,10.95,2
000012,南玻Ａ,000012.sz,2015,318,9.85,0,0,0,0,0,0,0,0
000014,沙河股份,000014.sz,2015,323,15,18.52,18.53,9555,1751,18.53,18.20,18.24,2
000016,深康佳Ａ,000016.sz,2015,323,8.61,10.02,9.96,65758,6468,9.96,9.75,9.77,2
000017,深中华A,000017.sz,2015,323,8.47,9.50,9.47,20728,1944,9.47,9.34,9.35,2
000018,中冠A,000018.sz,2015,323,22.96,26.02,26.06,9531,2493,26.26,26.06,26.11,2
000019,深深宝Ａ,000019.sz,2015,323,8.71,10.92,10.87,21359,2378,11.37,10.80,11.36,2
000020,深华发Ａ,000020.sz,2015,323,8.57,9.71,10.68,506,54,10.68,10.68,10.68,2
000021,深科技,000021.sz,2015,323,8.95,11.50,11.51,104941,11937,11.55,11.25,11.37,2
000022,深赤湾Ａ,000022.sz,2015,323,18.99,23.55,23.54,23461,5419,23.59,22.86,22.86,2
000023,深天地Ａ,000023.sz,2015,323,19.57,25.50,25.50,15029,3871,26.10,25.40,26.05,2
000024,招商地产,000024.sz,2015,323,25.25,28.38,28.84,133598,37607,28.84,27.90,28.02,2
000025,特力Ａ,000025.sz,2015,323,13.07,21.10,21.36,39283,8545,22.97,21.01,21.48,2
000026,飞亚达Ａ,000026.sz,2015,323,11.54,13.89,13.82,11536,1586,13.93,13.61,13.81,2
000027,深圳能源,000027.sz,2015,323,10.84,12.61,12.73,166267,20881,12.81,12.35,12.48,2
000028,国药一致,000028.sz,2015,323,47.42,56.35,56.26,10318,5733,56.26,55.25,55.55,2
000029,深深房Ａ,000029.sz,2015,323,6.01,8.11,8.11,30672,2477,8.20,8.00,8.10,2
