"code" "market" "maincost.year" "maincost.month.day" "main.cost.value" "yesterday" "open" "volumn" "turn.volumn" "high" "low" "lastest.value" "type"
"1" "000001" "000001.sz" 2015 3111 13.08 "13.86" "14.20" "1801916" "258572" "14.60" "14.08" "14.54" "2"
"2" "000002" "000002.sz" 2015 3111 11.96 "11.93" "12.06" "791355" "95365" "12.18" "11.96" "12.15" "2"
"3" "000004" "000004.sz" 2015 311 18.41 "19.38" "19.01" "16543" "3207" "19.58" "19.00" "19.29" "2"
"4" "000005" "000005.sz" 2014 12261 4.21 "0" "0" "0" "0" "0" "0" "0" "0"
"5" "000006" "000006.sz" 2015 311 6.49 "6.92" "6.98" "242701" "17007" "7.10" "6.93" "6.95" "2"
"6" "000007" "000007.sz" 2015 311 14.65 "16.40" "16.40" "63348" "10257" "16.66" "15.90" "16.07" "2"
"7" "000008" "000008.sz" 2015 311 25.97 "0" "0" "0" "0" "0" "0" "0" "0"
"8" "000009" "000009.sz" 2015 311 14.2 "15.88" "15.97" "235605" "37320" "16.10" "15.59" "15.64" "2"
"9" "000010" "000010.sz" 2014 12251 7.78 "0" "0" "0" "0" "0" "0" "0" "0"
"10" "000011" "000011.sz" 2015 311 9.5 "10.11" "10.10" "58451" "5911" "10.25" "9.94" "9.96" "2"
"11" "000012" "000012.sz" 2015 311 9.2 "10.26" "10.36" "215774" "22122" "10.36" "10.13" "10.16" "2"
"12" "000014" "000014.sz" 2015 311 14.42 "16.10" "16.10" "23131" "3663" "16.10" "15.69" "15.86" "2"
"13" "000016" "000016.sz" 2015 311 8.07 "9.20" "9.40" "92921" "8634" "9.42" "9.15" "9.25" "2"
"14" "000017" "000017.sz" 2015 311 8.21 "8.80" "8.80" "25603" "2255" "8.90" "8.75" "8.79" "2"
"15" "000018" "000018.sz" 2015 311 21.58 "25.99" "25.98" "9381" "2412" "25.98" "25.36" "25.56" "2"
"16" "000019" "000019.sz" 2015 311 8.28 "9.22" "9.22" "31047" "2898" "9.47" "9.17" "9.19" "2"
"17" "000020" "000020.sz" 2014 6231 8.57 "0" "0" "0" "0" "0" "0" "0" "0"
"18" "000021" "000021.sz" 2015 311 8.27 "9.42" "9.45" "143567" "13449" "9.47" "9.28" "9.34" "2"
"19" "000022" "000022.sz" 2015 311 18.43 "21.31" "21.31" "25239" "5349" "21.44" "21.03" "21.18" "2"
"20" "000023" "000023.sz" 2015 311 18.07 "25.99" "25.94" "6649" "1718" "26.30" "25.70" "25.75" "2"
"21" "000024" "000024.sz" 2015 3111 24.6 "23.24" "23.59" "250725" "58754" "23.79" "23.15" "23.60" "2"
"22" "000025" "000025.sz" 2015 311 11.97 "15.33" "15.33" "22073" "3331" "15.44" "14.78" "15.37" "2"
