"","code","market","main.cost.year","main.cost.month.day","main.cost.value","yesterday","open","volumn","turn.volumn","high","low","lastest.value","type"
"1","000001","000001.sz",2015,312,13.13,"14.60","14.90","2659213","404399","15.61","14.80","15.08","2"
"2","000002","000002.sz",2015,312,11.96,"12.22","12.27","1020500","125437","12.40","12.17","12.23","2"
"3","000004","000004.sz",2015,312,18.44,"19.17","19.30","12888","2474","19.35","19.05","19.27","2"
"4","000005","000005.sz",2014,1226,4.21,"0","0","0","0","0","0","0","0"
"5","000006","000006.sz",2015,312,6.5,"6.94","6.94","187535","13087","7.07","6.93","6.95","2"
"6","000007","000007.sz",2015,312,14.72,"15.95","15.93","75837","11728","16.00","15.18","15.50","2"
"7","000008","000008.sz",2015,311,28.56,"0","0","0","0","0","0","0","0"
"8","000009","000009.sz",2015,312,14.24,"15.63","15.85","310009","48902","16.08","15.56","15.99","2"
"9","000010","000010.sz",2014,1225,7.78,"0","0","0","0","0","0","0","0"
"10","000011","000011.sz",2015,312,9.54,"10.02","9.99","75621","7661","10.22","9.90","10.05","2"
"11","000012","000012.sz",2015,312,9.23,"10.09","10.14","236119","23990","10.29","10.06","10.17","2"
"12","000014","000014.sz",2015,312,14.47,"15.96","15.88","36019","5656","15.95","15.49","15.82","2"
"13","000016","000016.sz",2015,312,8.1,"9.25","9.25","67405","6217","9.29","9.17","9.22","2"
"14","000017","000017.sz",2015,312,8.22,"8.75","8.81","34228","3049","8.99","8.81","8.89","2"
"15","000018","000018.sz",2015,312,21.75,"26.75","26.76","27406","7269","27.20","26.13","26.26","2"
"16","000019","000019.sz",2015,312,8.3,"9.32","9.40","24845","2317","9.43","9.25","9.35","2"
"17","000020","000020.sz",2014,623,8.57,"0","0","0","0","0","0","0","0"
"18","000021","000021.sz",2015,312,8.29,"9.27","9.37","259377","24672","9.70","9.25","9.59","2"
"19","000022","000022.sz",2015,312,18.45,"21.03","21.08","30340","6374","21.26","20.83","21.12","2"
"20","000023","000023.sz",2015,312,18.16,"25.08","25.10","13919","3451","25.48","24.18","24.78","2"
"21","000024","000024.sz",2015,312,24.55,"24.20","24.20","367367","89260","24.59","24.02","24.04","2"
"22","000025","000025.sz",2015,312,12.03,"15.17","15.13","14050","2148","15.53","15.05","15.40","2"
"23","000026","000026.sz",2015,312,11.16,"12.80","12.82","33940","4329","12.89","12.67","12.88","2"
"24","000027","000027.sz",2015,312,10.37,"10.76","10.81","177728","19171","10.88","10.70","10.75","2"
"25","000028","000028.sz",2015,312,46.46,"51.03","51.28","16941","8628","51.35","50.53","50.96","2"
"26","000029","000029.sz",2015,312,5.79,"7.04","6.97","74815","5247","7.09","6.96","7.06","2"
"27","000030","000030.sz",2015,312,8.44,"9.01","9.05","55311","4986","9.08","8.97","9.00","2"
"28","000031","000031.sz",2015,312,8.39,"8.65","8.70","167888","14526","8.70","8.61","8.64","2"
"29","000032","000032.sz",2015,312,12.01,"13.38","13.50","20987","2830","13.64","13.36","13.38","2"
"30","000034","000034.sz",2015,312,7.37,"8.13","8.13","42008","3413","8.22","8.04","8.12","2"
"31","000035","000035.sz",2015,312,13.27,"13.67","13.72","33556","4624","13.89","13.70","13.85","2"
"32","000036","000036.sz",2015,312,4.17,"4.36","4.40","148083","6516","4.46","4.37","4.39","2"
"33","000037","000037.sz",2015,312,8.2,"8.69","8.67","102118","8640","8.67","8.35","8.45","2"
"34","000038","000038.sz",2015,312,20.34,"21.82","21.91","10495","2344","22.58","21.91","22.36","2"
"35","000039","000039.sz",2015,312,19.32,"19.95","20.00","123703","24691","20.05","19.84","20.03","2"
"36","000040","000040.sz",2015,312,6.39,"7.36","7.39","68366","5058","7.59","7.29","7.46","2"
"37","000042","000042.sz",2015,312,13.68,"15.73","15.80","47295","7318","15.85","15.27","15.42","2"
"38","000043","000043.sz",2015,312,8.89,"10.60","10.63","160332","16898","10.91","10.26","10.50","2"
"39","000045","000045.sz",2015,312,10.38,"10.73","10.72","28551","3048","10.79","10.60","10.70","2"
"40","000046","000046.sz",2015,312,8.62,"13.65","13.64","259513","35053","13.85","13.28","13.35","2"
"41","000048","000048.sz",2015,312,10.97,"13.75","13.89","27421","3852","14.28","13.89","14.02","2"
"42","000049","000049.sz",2015,312,37.33,"39.92","39.90","45787","17996","39.90","38.92","39.40","2"
"43","000050","000050.sz",2015,312,21.74,"22.00","22.00","65745","14536","22.29","21.90","22.16","2"
"44","000055","000055.sz",2015,312,9.93,"9.49","9.51","45000","4279","9.59","9.44","9.55","2"
"45","000056","000056.sz",2015,312,15.47,"16.46","16.50","32906","5518","16.93","16.44","16.60","2"
"46","000058","000058.sz",2015,312,7.99,"10.21","10.20","110685","11451","10.50","10.08","10.30","2"
"47","000059","000059.sz",2015,312,9.39,"9.02","9.03","111255","10019","9.10","8.90","9.06","2"
"48","000060","000060.sz",2015,312,9.94,"11.32","11.36","347705","39854","11.64","11.20","11.44","2"
"49","000061","000061.sz",2015,312,12.31,"13.52","13.54","154154","21152","13.87","13.51","13.67","2"
"50","000062","000062.sz",2015,312,21.68,"0","0","0","0","0","0","0","0"
"51","000063","000063.sz",2015,312,18.68,"19.85","19.97","313579","62479","20.08","19.77","19.97","2"
"52","000065","000065.sz",2015,312,18.6,"18.73","18.86","23505","4461","19.20","18.76","19.07","2"
"53","000066","000066.sz",2015,312,8.39,"12.14","12.15","626357","81381","13.35","12.15","13.35","2"
"54","000068","000068.sz",2015,126,8.94,"0","0","0","0","0","0","0","0"
"55","000069","000069.sz",2015,121,7.88,"0","0","0","0","0","0","0","0"
"56","000070","000070.sz",2014,912,10.35,"0","0","0","0","0","0","0","0"
"57","000078","000078.sz",2015,312,10.39,"10.81","10.80","157790","17013","10.88","10.71","10.86","2"
"58","000088","000088.sz",2015,312,9.27,"10.02","10.04","200562","20164","10.15","9.94","10.09","2"
"59","000089","000089.sz",2015,312,5.47,"6.31","6.35","279198","18065","6.57","6.31","6.48","2"
"60","000090","000090.sz",2015,312,13.95,"16.09","16.20","45613","7270","16.21","15.77","15.85","2"
"61","000096","000096.sz",2015,312,7.83,"8.43","8.43","60166","5116","8.59","8.43","8.48","2"
"62","000099","000099.sz",2015,312,13.86,"13.74","13.82","170512","23964","14.18","13.82","14.13","2"
"63","000100","000100.sz",2015,312,4.5,"5.06","5.05","1989823","100756","5.17","5.00","5.13","2"
"64","000150","000150.sz",2015,312,22.3,"35.30","34.80","40265","14091","35.55","34.30","35.10","2"
"65","000151","000151.sz",2015,312,19.81,"22.11","22.12","32784","7208","22.28","21.86","21.98","2"
"66","000153","000153.sz",2015,312,12.34,"12.59","12.58","87708","11111","12.79","12.55","12.62","2"
"67","000155","000155.sz",2015,312,7.96,"10.94","10.95","105539","11316","11.18","10.53","10.72","2"
"68","000156","000156.sz",2015,312,34.91,"40.23","40.24","33901","13417","41.23","38.73","40.25","2"
"69","000157","000157.sz",2015,312,6.24,"6.25","6.28","853599","53789","6.35","6.26","6.30","2"
"70","000158","000158.sz",2015,304,11.36,"16.24","17.50","276509","46980","17.76","15.62","17.20","2"
"71","000159","000159.sz",2015,312,10.74,"10.85","10.90","86586","9563","11.15","10.88","11.04","2"
"72","000301","000301.sz",2015,312,4.72,"5.19","5.19","111809","5830","5.25","5.19","5.22","2"
"73","000333","000333.sz",2015,312,25.9,"30.68","30.69","129747","40291","31.50","30.60","31.00","2"
"74","000338","000338.sz",2015,312,25.94,"26.97","27.08","159977","43086","27.18","26.76","26.89","2"
"75","000400","000400.sz",2015,312,23.68,"24.44","24.60","135264","33074","24.78","24.29","24.41","2"
"76","000401","000401.sz",2015,312,10.8,"11.57","11.61","67770","7845","11.63","11.50","11.58","2"
"77","000402","000402.sz",2015,312,9.48,"10.03","10.05","344835","34571","10.13","9.91","9.97","2"
"78","000404","000404.sz",2015,312,7.67,"8.17","8.16","60506","4930","8.23","8.09","8.13","2"
"79","000407","000407.sz",2015,227,6.87,"0","0","0","0","0","0","0","0"
"80","000408","000408.sz",2015,312,11.24,"12.84","12.81","39675","5240","13.43","12.76","13.31","2"
"81","000409","000409.sz",2015,312,11.57,"12.07","12.18","49646","6094","12.44","12.10","12.40","2"
"82","000410","000410.sz",2015,302,16.9,"0","0","0","0","0","0","0","0"
"83","000411","000411.sz",2014,1127,17.01,"0","0","0","0","0","0","0","0"
"84","000413","000413.sz",2015,312,9.34,"10.39","10.45","996953","103170","10.59","10.16","10.41","2"
"85","000415","000415.sz",2015,116,11.95,"0","0","0","0","0","0","0","0"
"86","000416","000416.sz",2015,312,9.73,"10.93","10.98","127884","14013","11.13","10.80","10.98","2"
"87","000417","000417.sz",2015,312,8.47,"9.98","9.89","303434","29667","10.04","9.63","9.77","2"
"88","000418","000418.sz",2015,312,14.25,"16.20","16.23","42292","6846","16.39","16.08","16.09","2"
"89","000419","000419.sz",2015,312,7.04,"7.95","7.96","116439","9458","8.23","7.94","8.04","2"
"90","000420","000420.sz",2015,312,5.44,"5.68","5.68","56384","3195","5.75","5.63","5.69","2"
"91","000421","000421.sz",2015,312,7.51,"8.48","8.65","93607","8197","8.97","8.57","8.80","2"
"92","000422","000422.sz",2015,312,7.18,"7.50","7.51","137698","10399","7.63","7.50","7.54","2"
"93","000423","000423.sz",2015,312,37.78,"39.30","39.45","80166","31704","39.84","39.28","39.40","2"
"94","000425","000425.sz",2015,312,12.78,"13.73","13.70","282214","39087","13.98","13.70","13.84","2"
"95","000426","000426.sz",2014,1210,11.6,"0","0","0","0","0","0","0","0"
"96","000428","000428.sz",2015,312,6.67,"7.57","7.62","170559","13340","8.02","7.52","7.84","2"
"97","000429","000429.sz",2015,312,4.61,"5.09","5.12","84376","4296","5.18","5.03","5.06","2"
"98","000430","000430.sz",2015,312,8.55,"9.10","9.13","31149","2846","9.19","9.09","9.13","2"
"99","000488","000488.sz",2015,312,7.28,"6.55","6.55","110114","7282","6.64","6.55","6.62","2"
"100","000498","000498.sz",2015,312,5.82,"6.00","5.99","89057","5378","6.10","5.96","6.04","2"
"101","000501","000501.sz",2015,312,15.36,"17.42","17.46","50150","8648","17.50","17.13","17.30","2"
"102","000502","000502.sz",2015,227,10.77,"0","0","0","0","0","0","0","0"
"103","000503","000503.sz",2015,312,31.56,"40.70","40.71","67970","27613","41.26","40.29","41.01","2"
"104","000505","000505.sz",2015,312,7.33,"9.03","8.92","57021","5194","9.28","8.88","9.07","2"
"105","000506","000506.sz",2015,312,6,"6.68","6.61","390619","26104","6.79","6.55","6.69","2"
"106","000507","000507.sz",2015,312,9.64,"10.13","10.13","224318","22633","10.26","9.96","10.13","2"
